0,1,0,0,0,0,0,0,1,0,23.42,0,15,TEST_GEO_Hierarchy: ac13b93c-dedd-41be-a54e-8be74c9225c8
0,1,0,0,0,0,0,0,1,0,23.42,0,1039,"@notyawifeyy Oooh Nice! Lol YES, it was quite exquisite! Man, it was extremely fun! We’ll catch up sometime. Hear f… https://t.co/teZEhJoJMh"
0,1,0,0,0,0,0,0,1,0,23.42,0,301,Things r lookin up
0,1,0,0,0,0,0,0,1,0,23.42,0,3824,You a fan not my friend bitch lol
0,1,0,0,0,0,0,0,0,1,16.915,0,10013,"I'm Barksdale, an adult male #Terrier/#Chihuahua mix in Long Beach, CA. 39969526 https://t.co/614UxwDL80 https://t.co/Sh9ma46uHf"
0,1,0,0,0,0,0,0,1,0,23.42,0,506,"My instincts has been 100% correct my whole life. Like my guts n instincts has never led me wrong. Remember, trust… https://t.co/wqW4gGFyaI"
0,1,0,0,0,0,0,0,1,0,23.42,0,182,Take your poison.
0,1,0,0,0,0,0,0,1,0,23.42,0,318,He makes me so happy
0,1,0,0,0,0,0,0,0,1,3.55,0,395,Yall charge your friends gas money? https://t.co/lTtjPYsnAZ
0,1,0,0,0,0,0,0,1,0,23.42,0,14172,Be here now..
0,1,0,0,0,0,0,0,1,0,23.42,0,66,"Just posted a photo @ Los Angeles, California https://t.co/vxKnCQUB4j"
0,1,0,0,0,0,0,0,1,0,23.42,0,113540,I'd love to get a Christmas tree this year but there is no possible way Bowie &amp; OC don't pull it to the ground.
0,1,0,0,0,0,0,0,1,0,23.42,0,655,I don’t sleep no more
0,1,0,0,0,0,0,0,1,0,23.42,0,10180,👯‍♀️ #playboy #playboymansion #bodypaint #modeling #markfrazier #hughhefner @ The Playboy Mansion https://t.co/aoUuo5pgq9
0,1,0,0,0,0,0,0,1,0,23.42,0,120,The concept of shopping malls has brought relief in our life as it is the one stop solution for all your shopping n… https://t.co/RK1iVILZeD
0,1,0,0,0,0,0,0,1,0,23.42,0,577,for your taxes
0,1,0,0,0,0,0,0,1,0,23.42,0,1447,living large
0,1,0,0,0,0,0,0,1,0,23.42,0,221,Want me to take my time with you but maybe I'm not ya speed
0,1,0,0,0,0,0,0,1,0,23.42,0,198,"@realDonaldTrump Since you call Sen. Elizabeth Warren Pocahontas, do you call African-Americans Kunta Kinte, Asians… https://t.co/j9vrekrc82"
0,1,0,0,0,0,0,0,1,0,23.42,0,335,I have a crush on Gina Rodriguez
0,1,0,0,0,0,0,0,1,0,23.42,0,687,Usually awkward thats fine. A head of the time like I've got nothing but clocks on my mind.
0,1,0,0,0,0,0,0,1,0,23.42,0,212,"Bathroom bills are a waste of resources. If so many genders could be introduced over the last decade, why can't the… https://t.co/3fausawPjl"
0,1,0,0,0,0,0,0,1,0,23.42,0,58,cast all your worries on HIM for HE cares for you...people scrolling through a news feed dont
0,1,0,0,0,0,0,0,1,0,23.42,0,272,@ me already https://t.co/7zH100hLlD
0,1,0,0,0,0,0,0,1,0,23.42,0,3099,U got no game at all
0,1,0,0,0,0,0,0,0,1,23.42,0,246,@icekulimi @goodbadnotevil @NavasBecky @_JMonayyy I didn't want to do this Isaac but you forced my hand.... @1uhnay… https://t.co/AJLxRGMrwV
0,1,0,0,0,0,0,0,1,0,23.42,0,56,Don’t mistake my kindness for weakness
0,1,0,0,0,0,0,0,1,0,23.42,0,233,"I liked #JimandAndy on @netflix a lot the whole way through, but the ending blew my mind. I don’t know if it was Ji… https://t.co/Uk3aIZzKgM"
