0,0,1,0,0,0,0,0,1,0,24.295,0,206,@gabgar23 I always pass by it but Im not sure why I never look it up.
0,0,1,0,0,0,0,0,1,0,24.295,0,59,we been knew minho is one of the sexiest men alive https://t.co/oLDb8d5nc6
0,0,1,0,0,0,0,0,1,0,24.295,0,4522,One thing I don’t like is when people think their shit doesn’t stink. GTFO!
0,0,1,0,0,0,0,0,1,0,24.295,0,568,Tim Cahill in the starting line up and their best player Matthew Leckie back. Honduras needs to score first if they… https://t.co/UCMGESQx92
0,0,1,0,0,0,0,0,1,0,24.295,0,170,Meeting with LAPD #losangeles #LA #usa #strongcities #collaboration #resilient #communities #outreach #myuk2usa… https://t.co/GhTeWKU7FI
0,0,1,0,0,0,0,0,1,0,24.295,0,2472,Get em boff foo https://t.co/FBSrKRzOwB
0,0,1,0,0,0,0,0,1,0,24.295,0,20,"@HIGH_TIMES_Mag Hey Friend , How have you been ? Hope all is well with you . Recently we got a really good Ceramic… https://t.co/BO4K88OzzK"
0,0,1,0,0,0,0,0,1,0,24.295,0,321,evan is suchhh a good mufuckin actor though! https://t.co/ZfjcakuuZ7
0,0,1,0,0,0,0,0,1,0,24.295,0,64,Monday  night was truly a wonderful experience with the LA cast of @hamiltonmusical @la_rockwell… https://t.co/EOhh5EzuXB
0,0,1,0,0,0,0,0,1,0,24.295,0,862,#Foxtrot dir. by #SamuelMaoz. Wow. What a cinematic masterpiece. Best film I’ve seen yet this… https://t.co/LuNyKq9loq
0,0,1,0,0,0,0,0,1,0,24.295,0,334,Is it desire or is it love that I️’m feeling for you ✨
0,0,1,0,0,0,0,0,1,0,24.295,0,10849,@DebbyBall813 @malenroh1 @X5Dragon @Barbie @Mattel @IbtihajMuhammad Being PROUD does NOT make them right. AGAIN: Th… https://t.co/L2IHMDsCB2
0,0,1,0,0,0,0,0,1,0,24.295,0,290,@10avier ur tweets speak to me brother
0,0,1,0,0,0,0,0,1,0,24.295,0,3055,Nick Cannon on crack Molly Rockin at Cha Cha rn LULZ
0,0,1,0,0,0,0,0,0,1,13.455,0,448,I’m literally craving strawberry eggos 24 hours a day hahaha what’s happening to me 🍓
0,0,1,0,0,0,0,0,1,0,24.295,0,1526,I stress about shit that's outta my control way too much dawg
0,0,1,0,0,0,0,0,0,1,13.455,0,70,When Bae is ready to snuggle... #bae #snuggle #dog #jack #jackrussellterrier #jackrussel… https://t.co/xzWVFip6yY
0,0,1,0,0,0,0,0,1,0,24.295,0,477,Karmas a bitch
0,0,1,0,0,0,0,0,1,0,24.295,0,138,that warm fuzzy feeling https://t.co/n2sXfonWZT
0,0,1,0,0,0,0,0,1,0,24.295,0,13,Kuma shape. Makes you more slim and beautiful. https://t.co/1cKeWO7jgW
0,0,1,0,0,0,0,0,1,0,24.295,0,1786,A little late in reading. But Disney &amp; ABC want me to do comedy. How about it is my life and I'll do what I want.  https://t.co/YBlDscE7Dn
0,0,1,0,0,0,0,0,0,1,28.17,0,10669,At the pacificamphitheatre in Costa Mesa #California with my awesome #Yamaha BB bass!… https://t.co/Jkhqv9yg2X
0,0,1,0,0,0,0,0,1,0,24.295,0,334,I want desire because your love only gets me abused ✨
0,0,1,0,0,0,0,0,1,0,24.295,0,87,"@hnb99 You look like a clean elbow, be gracious"
0,0,1,0,0,0,0,0,0,1,8.695,0,129,People never forget how you made them feel
0,0,1,0,0,0,0,0,1,0,24.295,0,663,I have too much shit on my plate
0,0,1,0,0,0,0,0,0,1,8.695,0,2009,Lmao I legit only have one person I can share music with
0,0,1,0,0,0,0,0,0,1,13.455,0,496,Happy Birthday 🎂🎁🎊🎉 to my Jada my Ride or Die chicc @kianaaholl me &amp; her got the best Love/Hate Friendship cause he… https://t.co/zUIV4aaMES
0,0,1,0,0,0,0,0,1,0,24.295,0,477,Karma’s a bitch
